Jiawei Han
Lingxiao Jiang
Houari A. Sahraoui
John Mylopoulos
Bernd Fischer
Deepak Dhungana
Rick Rabiser
Udo Kelter
Rui Abreu
Shiva Nejati
Julia L. Lawall
&#193;kos Horv&#225;th
Robert J. Hall
Marwan Abi-Antoun
Kunal Taneja
Perry Alexander
Bing Xie
Andrea Zisman
Shadi Abdul Khalek
Lars Grunske
Daniel Kroening
Alex Groce
Cyrille Artho
Debra J. Richardson
Andrea Arcuri
Yoshinori Tanabe
Yves Ledru
Klaus Pohl
Ewen Denney
Patrick M&#228;der
Gregory M. Kapfhammer
Massila Kamalrudin
Timo Kehrer
D&#225;niel Varr&#243;
Mathieu Acher
Chengnian Sun
Lucia
&#193;bel Heged&#252;s
Milos Gligoric
Kelvin Ku
Chris Mattmann
Marcelo d'Amorim
K. Vijay-Shanker

